polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291131.2803,288933.3833,34.4685,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291130.5491,288933.5557,34.475,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291129.4899,288934.5789,34.4613,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291128.9375,288934.8435,34.4608,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291128.2555,288934.5251,34.315,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291126.2275,288932.2115,34.325,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291124.9169,288930.7683,34.2777,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291123.8103,288929.4025,34.235,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291122.6283,288928.5409,34.4263,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291122.3891,288928.0641,34.451,Polyethylene,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_425_segment-1,291122.3161,288927.6043,34.4749,Polyethylene,250.0,25.0,3.658
