polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_1275_segment-1,291122.3161,288927.6043,34.4726,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291125.2695,288924.8211,34.3999,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291129.4571,288921.1359,34.3863,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291133.5419,288917.9397,34.312,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291137.3223,288914.8199,34.3968,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291140.7709,288911.5825,34.3578,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291145.1351,288907.5939,34.3839,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291146.6527,288906.1545,34.377,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291148.2849,288904.6629,34.375,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291151.9691,288901.3351,34.3464,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291155.6125,288897.8619,34.225,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291159.0869,288894.2119,34.2097,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291161.6097,288891.0745,34.15,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291164.4417,288887.7337,34.1336,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291167.6207,288883.3035,34.0506,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291170.5373,288879.3271,33.985,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291172.4437,288876.6269,34.005,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291174.6543,288873.2281,33.9775,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291179.2425,288866.3479,33.9153,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291182.1713,288862.3541,33.8641,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291185.0383,288858.7599,33.8074,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291187.7405,288855.1319,33.7349,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291192.3071,288849.0335,33.5861,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291194.4479,288845.9399,33.595,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291196.3869,288842.8809,33.5238,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291198.3421,288839.7357,33.5103,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291200.2431,288836.8365,33.505,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291202.8735,288832.4045,33.455,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291205.0103,288828.8067,33.3913,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291207.0285,288825.8481,33.3159,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1275_segment-1,291208.2629,288823.4759,33.3113,Polyethylene,250.0,25.0,3.658
