polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0040_6L7GW_segment-1,291078.7631,288974.1371,32.9383,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291079.3487,288973.5469,32.9221,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291082.0117,288970.7339,32.8785,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291085.3695,288967.1873,32.8586,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291089.6933,288962.6613,32.8599,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291092.5483,288959.6049,32.846,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291094.9335,288956.7997,32.8026,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291098.9153,288952.8391,32.766,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291103.7807,288947.7819,32.8421,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291109.3901,288942.3471,32.7781,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291112.6041,288939.3603,32.8409,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291115.7005,288936.4165,32.7723,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291119.5291,288932.6585,32.8076,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291124.1371,288928.3629,32.7856,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291127.1947,288925.4599,32.7711,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291128.1107,288924.6641,32.6786,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291136.7757,288917.1367,32.7344,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291146.0773,288908.7749,32.7794,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291153.8539,288901.5137,32.7343,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291153.8709,288900.6737,32.7813,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291153.8961,288899.4279,32.7778,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291155.1471,288898.1645,32.7953,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291156.4105,288896.8885,32.7115,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291157.0911,288896.1695,32.6961,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291158.9381,288894.3389,32.7066,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291162.4351,288890.0737,32.6115,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291167.2411,288884.3035,32.5417,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291171.4421,288878.1925,32.4246,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291174.4233,288873.9413,32.418,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291179.7381,288866.4497,32.356,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291184.5169,288859.6873,32.2946,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291190.0205,288851.8331,32.0902,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291193.5773,288846.8515,32.0592,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291197.2701,288841.0323,32.0071,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291202.4529,288833.0677,31.9536,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291204.3941,288829.9967,31.9013,CI,152.4,10.922,3.658
SCS-01-0040_6L7GW_segment-1,291204.5311,288829.7571,31.8946,CI,152.4,10.922,3.658
